Device Line,Base Part,Orderable Part Number,Status,Material Type,Package | Pins,Package Qty | Carrier,RoHS,Lead Finish / Ball Material,MSL Rating / Peak Reflow,Op Temp (C),Part Marking
AM62x,AM6234,AM6234ASCGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A SCGHAALW 131
AM62x,AM6234,AM6234ASCGHAALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A SCGHAALW 131
AM62x,AM6234,AM6234ASGGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A SGGHAALW 131
AM62x,AM6234,AM6234ASGGHAALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A SGGHAALW 131
AM62x,AM6234,AM6234ATCGGAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A TCGGAALW 131
AM62x,AM6234,AM6234ATCGGAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A TCGGAALW 131
AM62x,AM6234,AM6234ATCGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A TCGHAALW 131
AM62x,AM6234,AM6234ATCGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A TCGHAALW 131
AM62x,AM6234,AM6234ATGGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A TGGHAALW 131
AM62x,AM6234,AM6234ATGGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A TGGHAALW 131
AM62x,AM6234,AM6234ATGGHIALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,AM6234A TGGHIALW 131
AM62x,AM6251,AM6251ASGGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6251A SGGHAALW 131
AM62x,AM6251,AM6251ASGGHAALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6251A SGGHAALW 131
AM62x,AM6251,AM6251ATCGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6251A TCGHAALW 131
AM62x,AM6251,AM6251ATCGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6251A TCGHAALW 131
AM62x,AM6251,AM6251ATGGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6251A TGGHAALW 131
AM62x,AM6251,AM6251ATGGHAALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6251A TGGHAALW 131
AM62x,AM6251,AM6251BSGFHIALWRQ1,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,51BSGFHI
AM62x,AM6251,AM6251BSGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,-,Call TI,Level-3-250C-168 HR,-40 to 125,51BSGFHI Q1
